Titulares
Resumen por provincias; catastro y titulares
Unidades:provincias


,Urbano,,,,,,,,,,Rústico,,,,,,,,,,Urbano/Rústico,,,,,,,,,,
,Total,1 bien,2 bienes,3 bienes,4 bienes,5 bienes,6 a 10 bienes,11 a 25 bienes,26 a 50 bienes,Más de 50 bienes,Total,1 bien,2 bienes,3 bienes,4 bienes,5 bienes,6 a 10 bienes,11 a 25 bienes,26 a 50 bienes,Más de 50 bienes,Total,1 bien,2 bienes,3 bienes,4 bienes,5 bienes,6 a 10 bienes,11 a 25 bienes,26 a 50 bienes,Más de 50 bienes,
26 Rioja (La),"246.732","125.414","56.616","28.195","14.984","8.061","11.217","1.906","199","140","124.356","46.487","19.058","10.957","7.694","5.562","16.021","12.821","3.956","1.800","300.314","132.302","55.785","29.154","17.713","11.402","27.188","19.258","5.304","2.208",
27 Lugo,"280.387","168.341","58.742","24.281","11.879","6.074","8.883","1.872","177","138","295.087","94.671","38.761","22.982","16.819","12.628","38.387","42.451","20.669","7.719","437.916","164.678","66.921","36.804","24.412","17.155","47.889","48.522","22.847","8.688",
28 Madrid,"3.461.382","2.005.253","801.715","325.068","149.052","68.396","87.937","19.392","2.823","1.746","132.645","64.947","21.081","10.555","6.853","4.810","12.057","8.999","2.397","946","3.516.125","2.016.087","803.581","329.328","153.249","72.144","101.028","31.581","6.214","2.913",
29 Málaga,"1.098.305","660.585","229.781","102.072","45.215","22.099","30.296","6.578","1.042","637","171.482","92.152","34.391","15.816","9.361","5.581","10.512","3.235","336","98","1.167.294","660.924","240.179","114.301","55.911","30.669","49.640","13.337","1.569","764",
30 Murcia,"885.454","468.942","198.779","94.648","48.702","25.771","37.434","9.361","1.172","645","215.528","115.437","42.282","19.316","11.602","6.955","13.453","5.450","763","270","944.697","454.525","201.831","104.767","60.245","35.822","62.870","20.970","2.658","1.009",
32 Ourense,"289.422","141.389","64.683","33.173","18.179","10.255","16.945","4.233","397","168","399.428","131.605","46.207","26.846","19.724","15.357","49.515","61.709","31.629","16.836","541.476","186.955","77.984","43.770","28.731","20.370","60.257","69.831","35.034","18.544",
33 Asturias,"733.541","359.012","174.203","91.196","45.206","23.430","33.441","5.968","665","420","346.646","141.725","57.190","31.670","21.675","14.879","38.164","28.710","9.045","3.588","899.656","368.276","190.492","105.965","60.117","37.088","78.449","43.143","11.754","4.372",
34 Palencia,"158.038","76.869","36.638","19.146","10.618","5.485","7.640","1.391","184","67","85.844","29.346","13.710","8.427","6.128","4.275","11.305","8.613","2.616","1.424","195.005","77.820","36.855","21.075","13.100","8.407","19.864","12.722","3.487","1.675",
35 Palmas (Las),"520.172","316.719","101.648","43.703","21.152","11.214","17.934","6.099","1.016","687","107.073","55.513","19.857","9.691","5.935","4.001","7.878","3.614","448","136","564.148","314.960","109.862","51.635","27.600","15.998","29.397","12.069","1.789","838",
36 Pontevedra,"611.171","351.632","125.714","58.205","28.938","15.685","24.148","5.951","593","305","490.780","224.575","67.154","37.145","25.834","19.275","53.848","44.535","13.665","4.749","877.705","392.118","159.141","82.036","50.213","32.774","79.941","58.459","17.135","5.888",
37 Salamanca,"311.015","134.535","78.368","40.558","23.138","12.169","18.281","3.506","307","153","156.544","57.291","26.534","15.871","11.191","8.172","20.599","13.385","2.621","880","377.291","140.023","78.282","43.522","27.804","17.991","41.331","22.946","4.182","1.210",
38 Santa Cruz de Tenerife,"516.407","316.148","104.252","42.560","19.946","10.582","16.390","5.189","838","502","188.217","92.272","33.674","17.204","10.917","7.470","16.367","8.718","1.373","222","611.622","326.397","120.893","55.781","30.761","18.899","37.600","17.700","2.799","792",
39 Cantabria,"461.300","223.257","121.110","54.849","26.436","12.931","18.406","3.693","400","218","147.568","61.134","26.598","14.706","9.986","6.887","15.923","9.202","2.296","836","525.757","226.791","125.318","61.044","32.783","19.114","38.784","17.328","3.357","1.238",
40 Segovia,"176.962","105.291","37.360","16.430","7.802","3.893","5.025","922","150","89","132.138","48.070","19.967","12.098","8.813","6.605","17.948","13.766","3.370","1.501","250.722","115.578","41.733","21.846","13.748","9.480","24.369","17.878","4.382","1.708",
41 Sevilla,"1.056.461","685.184","212.118","81.624","35.118","16.188","20.433","4.581","684","531","105.371","59.056","19.725","8.716","5.310","3.223","6.503","2.442","251","145","1.082.036","669.098","213.323","91.383","42.909","21.724","32.482","9.309","1.153","655",
42 Soria,"116.001","50.397","27.046","14.566","8.719","5.091","8.460","1.529","122","71","112.323","30.387","14.204","9.114","6.665","5.349","16.698","17.697","7.653","4.556","174.357","56.337","27.566","15.605","10.479","7.572","21.208","21.324","9.037","5.229",
43 Tarragona,"653.389","389.864","145.760","59.601","25.545","12.057","16.043","3.596","541","382","142.374","70.908","27.008","13.458","8.178","5.461","11.488","4.996","555","322","712.114","387.884","154.475","68.773","34.278","19.213","33.376","12.061","1.355","699",
44 Teruel,"155.416","88.258","35.355","15.488","7.578","3.515","4.344","698","116","64","144.200","45.347","19.390","11.968","9.162","7.080","21.539","20.581","6.604","2.529","232.039","91.337","36.240","19.995","13.330","9.478","26.490","24.535","7.801","2.833",
45 Toledo,"554.396","366.370","104.451","41.710","18.362","8.592","11.017","2.886","590","418","194.442","79.155","33.580","19.058","13.140","9.176","22.772","13.952","2.789","820","639.102","362.225","108.487","52.440","29.748","18.972","39.942","21.701","4.165","1.422",
46 Valencia,"1.591.894","831.617","366.784","181.520","89.149","45.939","61.762","12.818","1.457","848","388.977","204.299","67.662","33.448","21.038","13.764","30.403","15.353","2.266","744","1.728.191","841.015","365.174","195.970","107.564","62.034","109.436","39.893","5.420","1.685",
47 Valladolid,"369.400","195.870","86.213","42.213","20.314","9.736","12.254","2.280","318","202","97.972","43.398","16.679","8.846","5.775","4.146","10.443","6.700","1.450","535","411.981","200.753","87.866","45.307","24.139","13.717","25.302","11.791","2.275","831",
49 Zamora,"198.205","96.879","46.566","23.944","12.947","6.890","9.308","1.486","132","53","182.130","58.983","24.817","15.119","11.190","8.390","24.001","22.433","9.677","7.520","288.080","103.082","46.609","27.127","17.779","12.537","33.266","28.464","11.043","8.173",
50 Zaragoza,"609.239","309.836","144.074","72.926","36.549","17.590","23.203","4.253","513","295","196.375","74.658","30.882","18.099","12.627","9.158","24.750","19.027","5.166","2.008","687.294","310.233","141.530","75.933","42.739","25.119","51.930","30.138","7.069","2.603",
51 Ceuta,"29.110","16.714","6.456","2.859","1.282","630","879","218","44","28","449","221","122","62","22","8","8","4","0","2","29.307","16.673","6.565","2.908","1.311","650","900","227","44","29",
52 Melilla,"28.129","16.762","6.035","2.555","1.148","527","779","260","43","20","271","187","46","18","1","7","8","0","3","1","28.215","16.784","6.029","2.589","1.159","529","793","266","45","21",

Fuente:Área de Estadística. Dirección General del Catastro.

Copyright:  Dirección General del Catastro 2017


www.catastro.meh.es
